Image#,Crib#,Class 1 Value,Class 2 Value,Classification
47174,18193,7.002128,-7.784870,0
47174,18194,2.174560,-0.906829,0
47175,18195,5.462515,-6.059627,0
47175,18196,4.841867,-5.232578,0
47175,18197,5.745854,-6.314964,0
47176,18198,6.651002,-7.441529,0
47176,18199,4.904497,-4.660865,0
47176,18200,3.750294,-3.598832,0
47177,18201,7.089965,-7.825095,0
47177,18202,5.740235,-6.320033,0
47178,18203,6.799092,-7.520054,0
47178,18204,5.833830,-6.481758,0
47179,18205,5.693762,-6.082366,0
47179,18206,5.049828,-5.309929,0
47180,18207,3.520393,-0.876361,0
47180,18208,4.955048,-4.590292,0
47181,18209,7.644117,-8.531364,0
47181,18210,3.614218,-3.345273,0
47181,18211,4.391078,-4.244840,0
47182,18212,6.701262,-7.460413,0
47182,18213,4.752609,-4.757581,0
47183,18214,5.743950,-6.398949,0
47183,18215,4.952831,-5.492461,0
47183,18216,5.381270,-5.828972,0
47184,18217,7.564228,-8.408536,0
47184,18218,3.429712,-3.259464,0
47185,18219,3.102443,-1.011827,0
47185,18220,6.889196,-7.719834,0
47186,18221,5.071608,-5.546580,0
47186,18222,6.698839,-7.403221,0
47187,18223,3.908324,-4.248368,0
47187,18224,5.735083,-6.345430,0
47188,18225,4.179694,-4.558465,0
47188,18226,3.939882,-4.309811,0
47189,18227,5.878324,-6.451313,0
47189,18228,1.700632,2.338846,0
47189,18229,7.763187,-8.691130,0
47190,18230,4.801005,-5.273602,0
47190,18231,3.519503,-2.443139,0
47191,18232,6.118732,-6.787762,0
47191,18233,2.650329,0.480668,0
47191,18234,4.363158,-4.521970,0
47192,18235,3.749839,-2.927964,0
47192,18236,4.684274,-5.176942,0
47193,18237,5.881948,-6.601081,0
47193,18238,4.774583,-4.588236,0
47194,18239,5.005760,-4.785949,0
47194,18240,4.174810,-1.884681,0
47194,18241,6.159940,-6.539852,0
47195,18242,5.778761,-6.225441,0
47195,18243,6.878316,-7.618014,0
47196,18244,6.653590,-7.315067,0
47196,18245,4.545500,-4.826663,0
47197,18246,3.290514,-3.600427,0
47197,18247,6.235145,-6.898373,0
47197,18248,3.607908,-2.493808,0
47198,18249,4.282348,-4.028490,0
47198,18250,4.775066,-5.248572,0
47199,18251,5.238582,-5.835535,0
47199,18252,7.212812,-7.954735,0
47200,18253,4.288382,-4.155498,0
47200,18254,5.896274,-6.567515,0
47201,18255,6.368091,-7.077641,0
47201,18256,6.810762,-7.419306,0
47202,18257,4.720773,-5.156143,0
47202,18258,3.096461,-3.018255,0
47203,18259,3.955217,-4.110827,0
47203,18260,9.074464,-10.056965,0
47204,18261,3.275683,-1.877916,0
47204,18262,5.220973,-5.741181,0
47205,18263,4.424622,-4.903035,0
47205,18264,6.055120,-6.743460,0
47205,18265,4.916342,-5.482055,0
47206,18266,5.750681,-6.396099,0
47206,18267,5.729907,-6.252141,0
47207,18268,3.999882,-3.869818,0
47207,18269,4.006262,-4.386695,0
47208,18270,5.431634,-6.104265,0
47208,18271,5.875428,-6.518415,0
47209,18272,6.673551,-7.364306,0
47209,18273,4.388950,-4.783926,0
47210,18274,4.154917,-3.525869,0
47210,18275,6.164633,-6.880517,0
47211,18276,4.272918,-4.575336,0
47211,18277,2.057229,-0.784944,0
47212,18278,2.812306,-2.564200,0
47212,18279,2.754823,-0.917000,0
47213,18280,4.797962,-5.323915,0
47213,18281,4.982365,-5.372214,0
47213,18282,6.346417,-7.064068,0
47214,18283,3.328468,-1.716984,0
47215,18284,0.765433,2.599819,0
47215,18285,4.675621,-5.008485,0
47215,18286,4.280035,-4.051465,0
47216,18287,5.412989,-6.040318,0
47216,18288,6.306604,-6.877672,0
47217,18289,4.938498,-5.496304,0
47217,18290,2.947778,-1.659124,0
47218,18291,5.854954,-6.558908,0
47218,18292,3.458916,-1.146546,0
47219,18293,6.833054,-7.543087,0
47219,18294,7.362361,-8.168075,0
47219,18295,9.159490,-10.205943,0
47220,18296,10.647071,-11.740616,0
47220,18297,6.353960,-6.673190,0
47220,18298,7.416798,-8.014565,0
47221,18299,7.013197,-7.728473,0
47221,18300,4.295844,-1.565226,0
47222,18301,8.913659,-9.828370,0
47222,18302,7.907609,-8.660730,0
47223,18303,7.275733,-7.976297,0
47223,18304,8.186255,-9.160162,0
47224,18305,12.144981,-13.436478,0
47224,18306,5.409618,-3.227863,0
47225,18307,8.265896,-9.113378,0
47225,18308,9.931412,-10.734102,0
47226,18309,10.698277,-11.800442,0
47226,18310,9.570030,-10.532934,0
47227,18311,7.855334,-8.581304,0
47227,18312,9.683598,-10.378654,0
47228,18313,7.623816,-8.473502,0
47228,18314,9.275543,-10.284089,0
47229,18315,8.570397,-9.623826,0
47229,18316,6.984835,-7.696292,0
47229,18317,10.212164,-11.253107,0
47230,18318,8.507231,-9.452575,0
47230,18319,8.817969,-9.890657,0
47230,18320,6.926358,-7.703760,0
47231,18321,6.534484,-7.177048,0
47231,18322,7.570992,-8.169972,0
47232,18323,4.042775,-2.265726,0
47232,18324,5.789207,-6.170408,0
47233,18325,6.303269,-6.829197,0
47233,18326,9.005531,-10.025465,0
47233,18327,6.275067,-6.983517,0
47233,18328,8.534849,-9.455667,0
47234,18329,6.193641,-6.631533,0
47234,18330,4.175691,-4.586719,0
47235,18331,-1.148874,5.128862,1
47235,18332,-0.876851,4.044870,0
47236,18333,-0.320173,2.477185,0
47236,18334,-0.366357,2.450264,0
47237,18335,-1.353791,6.229799,1
47237,18336,-1.554778,6.699614,1
47237,18337,1.908400,0.690209,0
47238,18338,4.803739,-5.083344,0
47238,18339,2.213441,-0.002495,0
47239,18340,7.320096,-7.997372,0
47239,18341,6.153056,-6.737570,0
47240,18342,7.099922,-7.799643,0
47240,18343,6.483684,-7.170594,0
47240,18344,7.892679,-8.702579,0
47241,18345,6.457051,-7.034942,0
47241,18346,7.152385,-7.864597,0
47242,18347,9.108797,-9.754572,0
47242,18348,10.807606,-11.992645,0
47242,18349,9.629602,-10.572138,0
47243,18350,9.672594,-10.764232,0
47243,18351,7.755082,-8.365323,0
47244,18352,11.405230,-12.700339,0
47245,18353,10.056528,-11.236383,0
47245,18354,12.953039,-14.385436,0
47245,18355,9.755101,-10.672256,0
47246,18356,7.871194,-8.753867,0
47246,18357,8.010489,-8.889373,0
47247,18358,12.340117,-13.695913,0
47248,18359,6.247587,-5.261567,0
47248,18360,6.214368,-6.081355,0
47248,18361,9.617970,-10.747837,0
47248,18362,8.764765,-9.485699,0
47249,18363,7.274029,-7.795663,0
47249,18364,7.364129,-8.053370,0
47250,18365,9.895452,-10.871669,0
47250,18366,7.602905,-7.670789,0
47251,18367,3.932456,-2.677620,0
47251,18368,12.099112,-13.369358,0
47252,18369,9.891449,-10.956394,0
47252,18370,8.292058,-9.035241,0
47253,18371,5.535347,-5.126473,0
47253,18372,6.237942,-6.384272,0
47254,18373,9.380976,-10.413209,0
47254,18374,7.783710,-8.499104,0
47255,18375,7.112999,-7.732722,0
47255,18376,8.776396,-9.685579,0
47255,18377,6.288872,-6.880840,0
47256,18378,8.788806,-9.765509,0
47256,18379,6.026037,-6.585395,0
47257,18380,5.630780,-5.589732,0
47257,18381,7.239821,-7.883338,0
47258,18382,4.962115,-5.003920,0
47258,18383,7.889805,-8.228165,0
47258,18384,8.544266,-9.201233,0
47259,18385,6.771629,-6.864632,0
47259,18386,8.576488,-8.653376,0
47260,18387,8.079569,-8.928114,0
47260,18388,6.719626,-7.116175,0
47261,18389,7.147573,-7.424686,0
47261,18390,7.329498,-8.087597,0
47261,18391,6.518028,-7.169163,0
47262,18392,9.323904,-10.381029,0
47262,18393,8.145732,-8.994391,0
47263,18394,5.936574,-6.154200,0
47263,18395,5.241346,-5.783971,0
47264,18396,5.700617,-6.306143,0
47264,18397,6.224266,-6.771443,0
47265,18398,6.837905,-7.259744,0
47265,18399,8.385456,-9.278600,0
47265,18400,9.567947,-10.481873,0
47266,18401,9.418058,-10.532754,0
47266,18402,6.795012,-6.921821,0
47267,18403,4.243078,-3.514429,0
47267,18404,4.694407,-3.472235,0
47268,18405,4.808824,-4.610555,0
47268,18406,8.218368,-9.096692,0
47269,18407,8.887745,-9.823936,0
47269,18408,7.883002,-8.610246,0
47270,18409,8.960483,-9.974995,0
47270,18410,10.398465,-11.485663,0
47271,18411,7.943168,-8.788097,0
47271,18412,6.825602,-7.578712,0
47272,18413,6.645233,-7.143633,0
47272,18414,8.105919,-8.987385,0
47272,18415,5.890073,-6.519098,0
47273,18416,6.604996,-7.312106,0
47273,18417,5.073297,-5.294606,0
