Image#,Crib#,Row,Column,Class 1 Value,Class 2 Value,Classification
8040,68,2,2,6.517659,-5.366458,0
8040,68,2,3,2.594027,-2.106408,0
8040,68,3,0,-4.255160,2.264331,1
8040,68,3,1,3.361915,-2.558999,0
8040,68,3,2,1.510758,-1.522224,0
8040,68,3,3,-6.898240,4.864731,1
8040,68,4,0,2.817582,-2.331973,0
8040,68,4,1,2.335735,-1.962889,0
8040,68,4,2,-0.610297,-0.094761,0
8040,68,4,3,1.822006,-1.574147,0
8040,68,5,0,1.596060,-2.024248,0
8040,68,5,1,-0.613076,0.435264,0
8040,68,5,2,3.298440,-2.823865,0
8040,68,5,3,-4.329273,2.353683,1
8041,69,0,0,-1.506942,0.623302,1
8041,69,0,1,0.210391,-0.305781,0
8041,69,0,2,-2.606175,0.611002,1
8041,69,0,3,0.196859,-0.896084,0
8041,69,1,0,2.491861,-2.606253,0
8041,69,1,1,-1.398502,0.272917,1
8041,69,1,2,3.070453,-2.908015,0
8041,69,1,3,-1.118827,0.209888,1
8042,70,0,0,4.245894,-3.356758,0
8042,70,0,1,-3.724498,2.626665,1
8042,70,0,2,-5.715206,4.332826,1
8042,70,0,3,5.242318,-4.243798,0
8042,71,0,0,1.775145,-1.124948,0
8042,71,0,1,4.694210,-3.836547,0
8042,71,0,2,1.910064,-1.999561,0
8042,71,0,3,-7.360211,4.220770,1
8043,72,0,0,3.034406,-2.325100,0
8043,72,0,1,1.074492,-1.608007,0
8043,72,0,2,-0.846378,0.773120,0
8043,72,0,3,-5.466713,4.151217,1
8043,73,0,0,0.459052,-1.259182,0
8043,73,0,1,3.016004,-2.478823,0
8043,73,0,2,-0.847875,-0.052581,0
8043,73,0,3,6.847690,-5.172726,0
8043,73,1,0,-0.466409,-0.076508,0
8043,73,1,1,-6.845038,4.513100,1
8043,73,1,2,-7.391100,5.200798,1
8043,73,1,3,-6.696129,5.350210,1
8043,73,2,0,-3.393064,2.505954,1
8043,73,2,1,-3.841859,2.347015,1
8043,73,2,2,-5.822851,4.554522,1
8043,73,2,3,-8.886628,6.650547,1
8043,73,3,0,4.772543,-4.010649,0
8043,73,3,1,-1.630176,-0.678887,1
8043,73,3,2,-4.833125,3.947423,1
8043,73,3,3,-7.031538,5.211778,1
8044,74,0,0,1.660198,-1.815100,0
8044,74,0,1,-6.366109,4.880257,1
8044,74,0,2,-0.810660,0.324737,0
8044,74,0,3,-0.027049,0.160054,0
8044,74,1,0,1.265407,-1.757442,0
8044,74,1,1,1.528476,-1.958552,0
8044,74,1,2,0.825278,-1.343100,0
8044,74,1,3,-6.200745,4.239796,1
8045,75,0,0,2.730261,-2.836985,0
8045,75,0,1,-3.956851,3.096775,1
8045,75,0,2,0.629834,-1.024260,0
8045,75,0,3,-8.671287,6.572629,1
8045,75,1,0,-0.218151,-0.618697,0
8045,75,1,1,-7.305447,4.365142,1
8045,75,1,2,-2.280462,0.757053,1
8045,75,1,3,-8.388457,5.666683,1
8045,76,0,0,-5.143038,3.329943,1
8045,76,0,1,-4.899291,3.462184,1
8045,76,0,2,-2.921821,1.613735,1
8045,76,0,3,-0.093878,-0.245828,0
8045,76,1,0,-2.505929,2.027655,1
8045,76,1,1,5.005689,-4.214905,0
8045,76,1,2,0.798587,-0.402308,0
8045,76,1,3,-1.480744,1.042809,1
8046,77,0,0,0.970770,-1.421824,0
8046,77,0,1,6.594548,-4.873960,0
8046,77,0,2,1.645751,-1.860245,0
8046,77,0,3,2.677925,-2.798177,0
8046,78,0,0,-6.033150,3.834751,1
8046,78,0,1,4.808159,-4.005502,0
8046,78,0,2,4.367676,-4.246024,0
8046,78,0,3,4.574836,-3.707223,0
8047,79,0,0,-4.879945,3.425037,1
8047,79,0,1,-0.586601,0.124885,0
8047,79,0,2,4.045556,-4.093139,0
8047,79,0,3,6.418417,-4.910140,0
8047,80,0,0,2.105869,-1.901023,0
8047,80,0,1,3.560844,-3.493014,0
8047,80,0,2,-0.779842,0.864075,0
8047,80,0,3,-0.806643,0.794758,0
8047,80,1,0,1.953948,-2.295660,0
8047,80,1,1,-1.251450,-0.558491,1
8047,80,1,2,6.306636,-5.314549,0
8047,80,1,3,2.249705,-2.352318,0
8048,81,0,0,2.905448,-2.903788,0
8048,81,0,1,-6.101948,3.623907,1
8048,81,0,2,2.997025,-2.994515,0
8048,81,0,3,2.213876,-1.124070,0
8048,81,1,0,3.103951,-2.858860,0
8048,81,1,1,5.477939,-4.373877,0
8048,81,1,2,2.943833,-2.715866,0
8048,81,1,3,5.628436,-4.702595,0
8048,82,0,0,2.058479,-2.335808,0
8048,82,0,1,6.546248,-5.086326,0
8048,82,0,2,1.372004,-1.949607,0
8048,82,0,3,-4.286724,2.395374,1
8048,82,1,0,-3.201955,1.820845,1
8048,82,1,1,0.371641,-1.228459,0
8048,82,1,2,-0.954190,-0.301587,0
8048,82,1,3,3.025699,-3.480665,0
8049,83,0,0,3.271007,-3.119480,0
8049,83,0,1,1.414028,-1.472084,0
8049,83,0,2,0.858236,-0.538091,0
8049,83,0,3,-3.640443,3.023879,1
8049,84,0,0,-4.348085,3.056109,1
8049,84,0,1,2.491860,-1.415328,0
8049,84,0,2,3.475144,-3.643572,0
8049,84,0,3,-0.756415,1.024280,0
8050,85,0,0,-5.505502,3.468218,1
8050,85,0,1,4.140321,-3.346919,0
8050,85,0,2,-0.829464,-0.257334,0
8050,85,0,3,7.295968,-6.110511,0
8050,86,0,0,3.720430,-3.150513,0
8050,86,0,1,-0.268109,0.413661,0
8050,86,0,2,0.449612,-0.466232,0
8050,86,0,3,2.412074,-2.708867,0
8050,86,1,0,2.241143,-1.516443,0
8050,86,1,1,3.288428,-2.540979,0
8050,86,1,2,0.807144,-1.275447,0
8050,86,1,3,7.963249,-5.897148,0
8050,86,2,0,3.650201,-3.262938,0
8050,86,2,1,2.468177,-2.157963,0
8050,86,2,2,-0.917107,0.323096,0
8050,86,2,3,2.807942,-2.987310,0
8050,86,3,0,5.130370,-4.321225,0
8050,86,3,1,-0.394598,-0.703687,0
8050,86,3,2,4.915679,-3.639647,0
8050,86,3,3,-2.788168,1.391387,1
8051,87,0,0,-0.854956,0.565285,0
8051,87,0,1,-0.985496,0.395634,0
8051,87,0,2,3.911046,-3.417524,0
8051,87,0,3,6.222584,-4.804076,0
8051,87,1,0,2.790014,-3.413380,0
8051,87,1,1,1.022728,-2.096718,0
8051,87,1,2,5.739068,-5.032201,0
