Image#,Crib#,Class 1 Value,Class 2 Value,Classification
60553,16316,0.086337,-2.291914,0
60553,16317,2.835689,-6.174178,0
60554,16318,3.685120,-6.912205,0
60555,16319,2.805766,-5.879026,0
60555,16320,3.081379,-5.785019,0
60556,16321,-0.192808,-2.153770,0
60556,16322,4.451414,-8.352858,0
60557,16323,4.076977,-7.683974,0
60557,16324,4.422032,-8.532729,0
60558,16325,3.342371,-6.809099,0
60558,16326,1.809384,-4.739516,0
60559,16327,1.255681,-4.412154,0
60559,16328,3.990594,-7.499274,0
60560,16329,-0.636819,-2.023070,0
60560,16330,5.656662,-10.876657,0
60561,16331,5.881244,-11.407691,0
60561,16332,4.736630,-9.065656,0
60562,16333,5.326576,-10.121997,0
60562,16334,5.759262,-11.048043,0
60563,16335,-1.250569,-2.235687,1
60563,16336,4.785929,-9.306562,0
60564,16337,5.995996,-11.452026,0
60564,16338,8.569064,-16.697834,0
60565,16339,0.753476,-4.269734,0
60566,16340,5.557928,-10.512362,0
60566,16341,4.056362,-7.646122,0
60566,16342,4.959292,-9.608778,0
60567,16343,-4.002530,0.746199,1
60568,16344,6.163424,-11.701513,0
60568,16345,4.322568,-7.984980,0
60569,16346,3.967062,-7.358280,0
60569,16347,2.373352,-6.415792,0
60570,16348,5.012255,-9.549479,0
60570,16349,-0.758844,-1.707968,0
60571,16350,4.240687,-8.052549,0
60571,16351,3.078035,-6.783114,0
60572,16352,4.195675,-7.898068,0
60572,16353,2.389336,-5.197866,0
60573,16354,1.866995,-4.622845,0
60573,16355,4.662727,-8.827753,0
60574,16356,5.228772,-10.027566,0
60574,16357,3.152440,-6.140919,0
60575,16358,5.812639,-11.176785,0
60575,16359,5.903340,-11.409192,0
60576,16360,5.661529,-10.897182,0
60577,16361,1.086918,-3.951216,0
60577,16362,6.433527,-12.434672,0
60578,16363,2.482903,-4.926285,0
60578,16364,3.790826,-7.283821,0
60579,16365,3.221009,-6.459372,0
60579,16366,4.030430,-7.606033,0
60580,16367,5.251799,-10.065124,0
60580,16368,-8.085796,4.803524,1
60581,16369,2.149032,-5.199037,0
60581,16370,4.367887,-8.446675,0
60582,16371,2.698500,-5.506327,0
60582,16372,2.591440,-5.858136,0
60583,16373,3.511617,-6.878973,0
60583,16374,2.809064,-5.495583,0
